"ID","Symbol","MeanExpression","Metagene","Module","Chromosome","Description"
"Vitvi03g00500","Vitvi03g00500",1.36316240454054,"1 x 1","","3 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi03g00397","Vitvi03g00397",2.48357204974456,"1 x 1","","3 ","Binding to a protein."
"Vitvi03g00783","Vitvi03g00783",2.6057674982973,"1 x 1","","3 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00630","Vitvi03g00630",3.61597711079108,"1 x 1","","3 ","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi03g01724","",4.00420321262321,"1 x 1",""," ",""
"Vitvi04g00121","Vitvi04g00121",3.40013122653119,"1 x 1","","4 ","Binding to a metal ion."
"Vitvi04g00216","Vitvi04g00216",3.3721312000038,"1 x 1","","4 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00486","Vitvi04g00486",2.69899397799905,"1 x 1","","4 ",""
"Vitvi04g00511","Vitvi04g00511",5.71683356314848,"1 x 1","","4 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g01918","Vitvi04g01918",1.55409989114594,"1 x 1","","4 ",""
"Vitvi04g01920","Vitvi04g01920",2.43304353910245,"1 x 1","","4 ",""
"Vitvi05g00839","Vitvi05g00839",2.89950055075397,"1 x 1","","5 ","Binding to a 4 iron, 4 sulfur (4Fe-4S) cluster; this cluster consists of four iron atoms, with the inorganic sulfur atoms found between the irons and acting as bridging ligands."
"Vitvi05g00041","Vitvi05g00041",3.56356319910704,"1 x 1","","5 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g00061","Vitvi06g00061",3.09194129013295,"1 x 1","","6 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi06g00397","Vitvi06g00397",2.13827512404375,"1 x 1","","6 ","A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."
"Vitvi06g01682","Vitvi06g01682",3.00429377502349,"1 x 1","","6 ","A process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chitin stimulus."
"Vitvi06g00666","Vitvi06g00666",3.50741206976009,"1 x 1","","6 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi06g00667","Vitvi06g00667",4.06886912493734,"1 x 1","","6 ","Binding to a metal ion."
"Vitvi06g00713","",2.82526882718744,"1 x 1",""," ",""
"Vitvi06g01055","Vitvi06g01055",3.24983414834838,"1 x 1","","6 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01515","Vitvi06g01515",2.02376564966119,"1 x 1","","6 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi06g01546","Vitvi06g01546",4.54815574607807,"1 x 1","","6 ","Binding to a nucleic acid."
"Vitvi07g00341","Vitvi07g00341",6.53792805624024,"1 x 1","","7 ","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi07g00395","Vitvi07g00395",3.05754023235766,"1 x 1","","7 ","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"Vitvi07g02221","Vitvi07g02221",2.09632742763792,"1 x 1","","7 ",""
"Vitvi07g00441","Vitvi07g00441",3.31718470887439,"1 x 1","","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01908","Vitvi07g01908",4.63912491665253,"1 x 1","","7 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi08g01308","Vitvi08g01308",2.15846434978294,"1 x 1","","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01377","Vitvi08g01377",4.34589957601171,"1 x 1","","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01670","Vitvi08g01670",2.79874315949424,"1 x 1","","8 ","The process in which a methyl group is covalently attached to a molecule."
"Vitvi08g01843","Vitvi08g01843",2.45841912235129,"1 x 1","","8 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi08g02401","Vitvi08g02401",2.60141753262875,"1 x 1","","8 ",""
"Vitvi08g00283","Vitvi08g00283",3.99582071321117,"1 x 1","","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g02143","Vitvi08g02143",2.28527827915391,"1 x 1","","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01101","Vitvi08g01101",1.89622727573759,"1 x 1","","8 ","A process of secretion by a cell that results in the release of intracellular molecules (e.g. hormones, matrix proteins) contained within a membrane-bounded vesicle. Exocytosis can occur either by full fusion, when the vesicle collapses into the plasma membrane, or by a kiss-and-run mechanism that involves the formation of a transient contact, a pore, between a granule (for exemple of chromaffin cells) and the plasma membrane. The latter process most of the time leads to only partial secretion of the granule content. Exocytosis begins with steps that prepare vesicles for fusion with the membrane (tethering and docking) and ends when molecules are secreted from the cell."
"Vitvi08g00026","Vitvi08g00026",3.29578577771571,"1 x 1","","8 ","Binding to a calcium ion (Ca2+)."
"Vitvi08g00793","Vitvi08g00793",3.90337821802919,"1 x 1","","8 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi09g00085","Vitvi09g00085",3.9987131751803,"1 x 1","","9 ","Binding to a metal ion."
"Vitvi09g01122","Vitvi09g01122",2.93569668867939,"1 x 1","","9 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00509","Vitvi10g00509",2.23124780526524,"1 x 1","","10 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00827","Vitvi10g00827",2.0794509685357,"1 x 1","","10 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g00063","Vitvi10g00063",4.34695499197106,"1 x 1","","10 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00045","Vitvi11g00045",1.2471008877323,"1 x 1","","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00046","Vitvi11g00046",1.07629395035068,"1 x 1","","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00050","Vitvi11g00050",4.74592568769067,"1 x 1","","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00140","Vitvi11g00140",4.25590867260716,"1 x 1","","11 ","Binding to a metal ion."
"Vitvi11g00394","Vitvi11g00394",1.9233992217677,"1 x 1","","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00724","Vitvi11g00724",1.93870685462389,"1 x 1","","11 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi11g01674","Vitvi11g01674",2.12198726896394,"1 x 1","","11 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi11g01263","Vitvi11g01263",1.41664216775478,"1 x 1","","11 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi11g01676","Vitvi11g01676",2.64508036304083,"1 x 1","","11 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi11g01680","",1.35310073691949,"1 x 1",""," ",""
"Vitvi12g00251","Vitvi12g00251",3.13317398618817,"1 x 1","","12 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi12g00274","Vitvi12g00274",4.37432821256786,"1 x 1","","12 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g02508","Vitvi12g02508",4.28481808285207,"1 x 1","","12 ",""
"Vitvi12g00594","Vitvi12g00594",3.65242629500306,"1 x 1","","12 ","Binding to a calcium ion (Ca2+)."
"Vitvi13g01972","Vitvi13g01972",3.33786091769419,"1 x 1","","13 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00325","Vitvi13g00325",4.64864955459214,"1 x 1","","13 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
"Vitvi13g00015","Vitvi13g00015",4.67609924728796,"1 x 1","","13 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi13g00058","Vitvi13g00058",6.10816142879642,"1 x 1","","13 ","Binding to a metal ion."
"Vitvi13g02457","Vitvi13g02457",3.02238726196575,"1 x 1","","13 ",""
"Vitvi14g00786","Vitvi14g00786",3.5183409869647,"1 x 1","","14 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi14g01868","Vitvi14g01868",1.63778152195551,"1 x 1","","14 ","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
"Vitvi14g01499","Vitvi14g01499",4.19477631306241,"1 x 1","","14 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi14g01367","Vitvi14g01367",1.39363424103907,"1 x 1","","14 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi14g01975","Vitvi14g01975",3.32235497460346,"1 x 1","","14 ","Binding to a calcium ion (Ca2+)."
"Vitvi15g01003","Vitvi15g01003",4.37949142222095,"1 x 1","","15 ","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi15g00844","Vitvi15g00844",2.10867054642427,"1 x 1","","15 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi16g01429","Vitvi16g01429",2.3983711377154,"1 x 1","","16 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01438","",2.58361401098206,"1 x 1",""," ",""
"Vitvi16g01430","Vitvi16g01430",1.86289719537492,"1 x 1","","16 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01424","Vitvi16g01424",2.68696213331893,"1 x 1","","16 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi16g01432","Vitvi16g01432",2.68560979096934,"1 x 1","","16 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00362","Vitvi16g00362",2.79315882604609,"1 x 1","","16 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01444","Vitvi16g01444",3.03637027796143,"1 x 1","","16 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi16g01437","Vitvi16g01437",1.78579014671703,"1 x 1","","16 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01434","Vitvi16g01434",1.49561929090417,"1 x 1","","16 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi16g00380","Vitvi16g00380",2.8144418813756,"1 x 1","","16 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01926","Vitvi16g01926",4.3746971447052,"1 x 1","","16 ","Binding to a metal ion."
"Vitvi16g01927","",4.83395365287116,"1 x 1",""," ",""
"Vitvi16g01154","",4.76369909986157,"1 x 1",""," ",""
"Vitvi16g02067","Vitvi16g02067",2.89263813384612,"1 x 1","","16 ",""
"Vitvi16g00941","",1.25434411711645,"1 x 1",""," ",""
"Vitvi16g00942","Vitvi16g00942",1.53775115054766,"1 x 1","","16 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g00173","Vitvi17g00173",3.20924270108868,"1 x 1","","17 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi17g00218","Vitvi17g00218",5.28259808449591,"1 x 1","","17 ","Binding to a calcium ion (Ca2+)."
"Vitvi17g00291","Vitvi17g00291",2.69900695207183,"1 x 1","","17 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi18g00164","Vitvi18g00164",1.86318881321355,"1 x 1","","18 ",""
"Vitvi18g00424","Vitvi18g00424",1.76206701341336,"1 x 1","","18 ","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"Vitvi18g00432","Vitvi18g00432",4.80818159114513,"1 x 1","","18 ","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"Vitvi18g02584","Vitvi18g02584",3.19893267890102,"1 x 1","","18 ","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."
"Vitvi18g00433","Vitvi18g00433",1.67732021785863,"1 x 1","","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00508","Vitvi18g00508",4.14203113848633,"1 x 1","","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00675","Vitvi18g00675",4.54717555481643,"1 x 1","","18 ","A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."
"Vitvi18g02727","Vitvi18g02727",1.47223569479928,"1 x 1","","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00905","Vitvi18g00905",2.41295962809682,"1 x 1","","18 ","Binding to a calcium ion (Ca2+)."
"Vitvi18g02797","Vitvi18g02797",3.02493257760519,"1 x 1","","18 ",""
"Vitvi18g02075","Vitvi18g02075",2.92805909780917,"1 x 1","","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g01676","Vitvi18g01676",3.26519002009144,"1 x 1","","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g02468","Vitvi18g02468",2.54310219242585,"1 x 1","","18 ","Binding to a calcium ion (Ca2+)."
"Vitvi18g02906","",1.45456251391815,"1 x 1",""," ",""
"Vitvi19g00270","Vitvi19g00270",4.27220485141215,"1 x 1","","19 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi19g01356","Vitvi19g01356",3.71360832565138,"1 x 1","","19 ","Binding to a metal ion."
"Vitvi01g01459","Vitvi01g01459",2.88766030097229,"2 x 1","","1 ","Catalysis of the transfer of a methyl group to an acceptor molecule."
"Vitvi01g00483","Vitvi01g00483",3.22354896328773,"2 x 1","","1 ","Binding to a metal ion."
"Vitvi01g00525","Vitvi01g00525",1.72624624390421,"2 x 1","","1 ","Catalysis of the transfer of ubiquitin from one protein to another via the reaction X-Ub + Y --> Y-Ub + X, where both X-Ub and Y-Ub are covalent linkages."
"Vitvi02g00228","Vitvi02g00228",2.64922234830702,"2 x 1","","2 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00429","Vitvi02g00429",4.65629236197683,"2 x 1","","2 ",""
"Vitvi02g01288","Vitvi02g01288",3.19710311644177,"2 x 1","","2 ","Binding to a metal ion."
"Vitvi03g01371","",6.29570929926715,"2 x 1",""," ",""
"Vitvi06g00443","Vitvi06g00443",3.4747314544102,"2 x 1","","6 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi08g01194","Vitvi08g01194",1.42758510714875,"2 x 1","","8 ","Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
"Vitvi11g00513","Vitvi11g00513",5.00376495698731,"2 x 1","","11 ","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"Vitvi12g02509","Vitvi12g02509",1.75457471536779,"2 x 1","","12 ",""
"Vitvi13g02574","Vitvi13g02574",3.11029495992051,"2 x 1","","13 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi14g02430","Vitvi14g02430",2.39060067850938,"2 x 1","","14 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g00971","",1.49907410979686,"2 x 1",""," ",""
"Vitvi16g01985","Vitvi16g01985",2.18171814569219,"2 x 1","","16 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi16g01362","Vitvi16g01362",3.82272860386168,"2 x 1","","16 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi18g00237","Vitvi18g00237",3.89641726669098,"2 x 1","","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g02650","",1.27293297919747,"2 x 1",""," ",""
"Vitvi10g00229","Vitvi10g00229",2.61702793792307,"3 x 1","","10 ",""
"Vitvi01g01958","Vitvi01g01958",1.8521660293191,"3 x 1","","1 ",""
"Vitvi01g00918","Vitvi01g00918",3.56153246453381,"3 x 1","","1 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00031","Vitvi02g00031",3.74185959540327,"3 x 1","","2 ","Binding to a metal ion."
"Vitvi02g00446","Vitvi02g00446",2.90884398516753,"3 x 1","","2 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi03g00712","Vitvi03g00712",3.65555231635131,"3 x 1","","3 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g01225","Vitvi04g01225",2.39674696685195,"3 x 1","","4 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
