"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi13g01884",22,"Vitvi13g01884","Vitvi13g01884",0.598795533613713,0.61016122489079,1.72590946848852,-0.598795533613713,0.580468018148391,5.38195833811226,"7.21132178083117e-07      .","12 x 40","13 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g02093",23,"Vitvi10g02093","",1.02571388169614,0.730284850600282,1.65346456504938,-1.02346593388651,0.768780954661895,9.07593161954304,"5.80424597274032e-13      .","12 x 40"," ",""
"Vitvi00g01654",24,"Vitvi00g01654","",1.02645236623363,0.72990461197158,1.6527260805119,-1.02420441842399,0.768653043703274,9.07224063603776,"5.88418203051333e-13      .","12 x 40"," ",""
"Vitvi10g02279",25,"Vitvi10g02279","",2.3269993377426,0.682999877189592,1.6246319646227,-1.50884877696644,0.618632030697622,5.944613974859,"8.86115549825206e-08      .","14 x 40"," ",""
"Vitvi00g01911",26,"Vitvi00g01911","",2.32736248769804,0.682871986161117,1.62439064393743,-1.50921192692188,0.618791210350276,5.94709248333665,"8.7788430302993e-08      .","14 x 40"," ",""
"Vitvi05g01469",27,"Vitvi05g01469","Vitvi05g01469",1.83218451115225,0.731100728357544,1.59676065045499,-1.53249606152109,0.573683603323642,5.28792317602563,"1.0185500772808e-06      .","12 x 40","5 ","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi10g00576",28,"Vitvi10g00576","Vitvi10g00576",1.17448818236426,0.644155104017991,1.59223280964479,-1.09880253946295,0.419267572668297,3.4866513608719,"0.000474426611951184      .","15 x 40","10 ","Binding to a metal ion."
"Vitvi15g00659",29,"Vitvi15g00659","",1.27673862293287,0.600586886954246,1.51702248010892,-1.27208149690395,0.634759165977262,6.20197277143767,"3.35032455112128e-08      .","12 x 40"," ",""
"Vitvi09g00095",30,"Vitvi09g00095","Vitvi09g00095",1.38312158601142,0.534584435853649,1.5060603976193,-1.20261692648401,0.509485963646133,4.4702250951218,"1.88431757857099e-05      .","13 x 39","9 ",""
"Vitvi01g00682",31,"Vitvi01g00682","Vitvi01g00682",3.15507045972587,0.672921108963179,1.48326548013582,-1.74516281182634,0.515613947149685,4.54330583643275,"1.46236657131427e-05      .","13 x 40","1 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g01933",32,"Vitvi09g01933","",2.00783115137525,0.957123665463448,1.47559424968818,-1.99290053456024,0.648902476290915,6.43880823767331,"1.3615376937004e-08      .","12 x 40"," ",""
"Vitvi13g01175",33,"Vitvi13g01175","Vitvi13g01175",1.6628947713768,0.603237750377559,1.47414609777587,-1.30899661707622,0.772066457565445,9.17166091602716,"4.05231403988182e-13      .","12 x 40","13 ","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi17g00788",34,"Vitvi17g00788","Vitvi17g00788",1.8348523544541,0.972967988208529,1.46187876905589,-1.8348523544541,0.733752176683006,8.15361663073641,"1.91071602984039e-11      .","14 x 40","17 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi09g00740",35,"Vitvi09g00740","",0.87843324710643,0.603204806923672,1.46160418477949,-0.876185299296798,0.418242261986302,3.47631439588421,"0.000489742591271991      .","15 x 40"," ",""
"Vitvi02g01360",36,"Vitvi02g01360","Vitvi02g01360",1.13194656129234,0.557626096777898,1.4565499951253,-1.13194656129234,0.591060235526089,5.53217854685953,"4.13999974524515e-07      .","12 x 40","2 ",""
"Vitvi08g00823",37,"Vitvi08g00823","Vitvi08g00823",1.92307585778832,0.821666626498029,1.44399850800419,-1.58109147862796,0.73049764545444,8.07587261592367,"2.57120991165039e-11      .","14 x 40","8 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi15g01636",38,"Vitvi15g01636","Vitvi15g01636",0.781472944947224,0.524794504245202,1.44147103652254,-0.779224997137592,0.571384188040663,5.25642366867378,"1.14301626474855e-06      .","15 x 40","15 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi17g00250",39,"Vitvi17g00250","Vitvi17g00250",1.34204591743464,0.761196995891831,1.41655013049611,-1.34204591743464,0.540675378729116,4.85242226774981,"4.9202099337009e-06      .","14 x 40","17 ","Binding to GTP, guanosine triphosphate."
"Vitvi13g02472",40,"Vitvi13g02472","",1.32158707905332,0.637067356453512,1.40916505971165,-1.24262280239544,0.592320509693418,5.55033916546577,"3.87034963744703e-07      .","12 x 40"," ",""
"Vitvi04g01105",41,"Vitvi04g01105","Vitvi04g01105",2.49936139000263,0.619378334225026,1.40797682592366,-1.24943856264767,0.733902091444862,8.15722679930716,"1.88457027761046e-11      .","13 x 40","4 ","Binding to a protein."
"Vitvi12g02726",42,"Vitvi12g02726","",2.81084224871183,1.36008535860989,1.40588294201203,-2.8085943009022,0.737391289234615,8.24198931491001,"1.363908985752e-11      .","12 x 40"," ",""
"Vitvi13g01661",43,"Vitvi13g01661","",1.58334452222914,0.661567117372022,1.38174726193793,-1.34699293799144,0.600287692785469,5.66661979553365,"2.5114556900796e-07      .","12 x 40"," ",""
"Vitvi08g01333",44,"Vitvi08g01333","Vitvi08g01333",1.37490308091209,0.75655446342549,1.37947976774012,-1.37024595488317,0.58498387531812,5.44548308702203,"5.70563509105781e-07      .","14 x 40","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g02163",45,"Vitvi10g02163","",1.43188665820462,0.930827024089146,1.37521367712956,-1.43188665820462,0.714692743158413,7.71449028065711,"1.02536867885306e-10      .","13 x 40"," ",""
"Vitvi00g00358",46,"Vitvi00g00358","",1.43216125708923,0.930811919494008,1.37511903901875,-1.43216125708923,0.714769889084199,7.71619273377142,"1.01869845892111e-10      .","13 x 40"," ",""
"Vitvi19g00662",47,"Vitvi19g00662","Vitvi19g00662",1.68636999328078,0.752768212568912,1.37230259133814,-1.35938402099728,0.734618573596307,8.17451648909289,"1.76423320397134e-11      .","13 x 40","19 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g02097",48,"Vitvi05g02097","Vitvi05g02097",1.27142477098881,0.733468505213485,1.35689080417717,-1.27142477098881,0.723589207233935,7.91471219409446,"4.76200190391296e-11      .","13 x 40","5 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g00304",49,"Vitvi02g00304","Vitvi02g00304",1.62273223733234,0.888864117558834,1.35122765291258,-1.62273223733234,0.643717224180066,6.35069990344266,"1.90430298196986e-08      .","12 x 40","2 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g02224",50,"Vitvi08g02224","",4.62512573007724,0.789332134525455,1.34683939939541,-2.18576699200243,0.697894524051823,7.35686126146823,"4.04398070585898e-10      .","14 x 40"," ",""
"Vitvi08g01117",51,"Vitvi08g01117","Vitvi08g01117",2.68884556181718,0.530143518995759,1.33022179560116,-1.16246457300562,0.501485547710354,4.37619226956164,"2.6046778873634e-05      .","15 x 40","8 ","The component of the plasma membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi07g01893",52,"Vitvi07g01893","Vitvi07g01893",5.77195532732284,0.54075976998491,1.30355627117325,-1.20811365841547,0.51713899661764,4.56163953795758,"1.37191169360396e-05      .","15 x 40","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02705",53,"Vitvi12g02705","Vitvi12g02705",1.05181440349223,0.877378375943282,1.28798537933447,-1.05181440349223,0.658633247136946,6.60838419289592,"7.12806813574218e-09      .","12 x 40","12 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi05g00544",54,"Vitvi05g00544","Vitvi05g00544",1.74371993774962,0.573014196679176,1.2582779661158,-1.20436891884638,0.352038279409526,2.83960641560766,"0.00312537342072838      .","15 x 40","5 ","Binding to a protein."
"Vitvi16g01407",55,"Vitvi16g01407","Vitvi16g01407",3.64166836184202,0.72709205645463,1.24569530383424,-2.09016111289706,0.69363214689038,7.27001822570431,"5.64413737969005e-10      .","15 x 40","16 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g02085",56,"Vitvi05g02085","Vitvi05g02085",2.05703312763968,0.715307603622191,1.24366815739684,-1.73004715535618,0.707978447284521,7.56848263288712,"1.79503079067445e-10      .","14 x 40","5 ","Binding to a protein."
"Vitvi12g02685",57,"Vitvi12g02685","",1.74839998568433,0.546530654150612,1.23076231763753,-1.10594243424393,0.705394609953144,7.51340461833487,"2.21746176976012e-10      .","15 x 40"," ",""
"Vitvi00g00489",58,"Vitvi00g00489","",1.24237158852158,0.654462076700992,1.19781194324569,-1.24012364071195,0.75884683459803,8.79692846782491,"1.65956137720968e-12      .","14 x 40"," ",""
"Vitvi02g01730",59,"Vitvi02g01730","",1.24209192387778,0.654519159792847,1.19756095108164,-1.23984397606815,0.758780343125984,8.79511151183236,"1.67099667436332e-12      .","14 x 40"," ",""
"Vitvi07g01584",60,"Vitvi07g01584","",0.698857650967648,0.587171872541251,1.18960880256094,-0.698857650967648,0.532004701612201,4.74353494324342,"7.24308930410977e-06      .","12 x 40"," ",""
"Vitvi11g01198",61,"Vitvi11g01198","Vitvi11g01198",4.03071318353175,0.504287425318843,1.17790043192724,-1.03798877542426,0.631305751488436,6.14577007870819,"4.14555181293963e-08      .","14 x 40","11 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g02701",62,"Vitvi07g02701","",3.30202121503765,0.553708916066671,1.16048587589294,-1.72774227842218,0.546225655087478,4.92326389584521,"3.81956975314957e-06      .","15 x 40"," ",""
"Vitvi00g01243",63,"Vitvi00g01243","",4.28348690961022,0.565203300453988,1.1578372932677,-1.4947687478047,0.423742640186739,3.531958625132,"0.000412508976728398      .","14 x 39"," ",""
"Vitvi19g00982",64,"Vitvi19g00982","",1.00167162913605,0.714836950648644,1.15423221401647,-1.00167162913605,0.534077108203472,4.76936732750795,"6.61004606050675e-06      .","12 x 40"," ",""
"Vitvi08g00738",65,"Vitvi08g00738","Vitvi08g00738",3.14482040984173,0.492650511934937,1.14190260217279,-1.3100974520619,0.726768764277818,7.98824573512751,"3.59425822438197e-11      .","14 x 40","8 ","Any process that stops or prevents ethylene (ethene) signal transduction."
"Vitvi00g00223",66,"Vitvi00g00223","",2.43509243079224,0.540661677208357,1.12753339871192,-1.48714976259405,0.635245865816265,6.20994328454821,"3.25056698224913e-08      .","14 x 40"," ",""
"Vitvi02g01682",67,"Vitvi02g01682","Vitvi02g01682",2.43478181848094,0.540800111759797,1.12750637864476,-1.48930917618475,0.635398735996179,6.21244934397889,"3.2198157473573e-08      .","14 x 40","2 ",""
"Vitvi13g00095",68,"Vitvi13g00095","Vitvi13g00095",1.35662995964646,0.591806482230452,1.12470949012046,-1.25352529746148,0.534575580333294,4.77559863594731,"6.4656436404853e-06      .","15 x 40","13 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi00g01909",69,"Vitvi00g01909","",1.02353867419768,0.55385060917808,1.12285208687931,-1.02353867419768,0.603789729053247,5.71855852571379,"2.06891683451893e-07      .","13 x 40"," ",""
"Vitvi13g02598",70,"Vitvi13g02598","",1.02334513880005,0.55380227077644,1.12143034989437,-1.02334513880005,0.603810053881762,5.71886147306744,"2.06657664536536e-07      .","13 x 40"," ",""
"Vitvi00g01828",71,"Vitvi00g01828","",0.736704387253558,0.501503333731165,1.11736020854626,-0.691397959912532,0.575737465588659,5.3162163644307,"9.18199694277533e-07      .","13 x 40"," ",""
"Vitvi16g02096",72,"Vitvi16g02096","Vitvi16g02096",0.736310309601287,0.50150406434268,1.1173489650697,-0.691003882260261,0.576378027731557,5.32507120135938,"8.88844337909589e-07      .","13 x 40","6 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-B radiation stimulus. UV-B radiation (UV-B light) spans the wavelengths 280 to 315 nm."
"Vitvi05g00909",73,"Vitvi05g00909","",1.7361964916444,0.721141767755373,1.07773116270815,-1.72354217862939,0.765816024295664,8.99105311294291,"7.98472399310413e-13      .","12 x 40"," ",""
"Vitvi08g01581",74,"Vitvi08g01581","Vitvi08g01581",2.10014257493276,0.558928599801666,1.07765104055627,-1.02280432271405,0.491687308732221,4.26306596198084,"3.83041079976554e-05      .","12 x 40","8 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi19g00476",75,"Vitvi19g00476","Vitvi19g00476",2.46532172521556,0.625139265420384,1.07007080183045,-1.49298770768614,0.737699971844343,8.24955702751841,"1.3251177932716e-11      .","14 x 40","19 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi09g01141",76,"Vitvi09g01141","Vitvi09g01141",1.81457174707297,0.455458613618934,1.06701723725125,-1.48621796340169,0.563896337615753,5.1551090127431,"1.6538855776016e-06      .","14 x 39","9 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi00g01483",77,"Vitvi00g01483","",2.42478229852857,0.63166846067488,1.04933639299376,-1.54521665056765,0.644786499967519,6.36874508169266,"1.77792959243916e-08      .","13 x 40"," ",""
"Vitvi07g02823",78,"Vitvi07g02823","",2.42455753499861,0.631642777489236,1.04932738709975,-1.54499188703768,0.644802941683027,6.3690230516654,"1.77604964068934e-08      .","13 x 40"," ",""
"Vitvi10g02162",79,"Vitvi10g02162","",2.10744350866282,0.550218045204322,1.03877786327967,-1.49420767830262,0.513760563140754,4.52110412014328,"1.57971323189177e-05      .","12 x 39"," ",""
"Vitvi00g00359",80,"Vitvi00g00359","",2.10772682925734,0.550145656659633,1.03849454268514,-1.49321806230933,0.513704110330786,4.52042922504374,"1.58342047948956e-05      .","12 x 39"," ",""
"Vitvi06g01408",81,"Vitvi06g01408","Vitvi06g01408",2.18993010175292,0.4950231264273,1.03569885997623,-1.45221190730688,0.535704233014987,4.78973353454006,"6.14943746457541e-06      .","13 x 40","6 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi01g01400",82,"Vitvi01g01400","Vitvi01g01400",3.63572140135878,0.549726452459728,1.01175467690871,-1.31384751661779,0.612540557167538,5.85064610272949,"1.26158499202944e-07      .","12 x 40","1 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02298",83,"Vitvi12g02298","",2.10697036435263,0.527701738698475,0.982510718549228,-1.11119915615533,0.601898400817987,5.69044424258541,"2.297904659887e-07      .","13 x 40"," ",""
"Vitvi18g03218",84,"Vitvi18g03218","",1.15867707320992,0.488919515109075,0.977868956404671,-1.15867707320992,0.572788456359835,5.27563861765695,"1.06541647770797e-06      .","12 x 40"," ",""
"Vitvi07g03067",85,"Vitvi07g03067","",1.41030537043393,0.434906532087543,0.964756655196805,-0.88188802062749,0.608058584656232,5.78257588029558,"1.62837260342386e-07      .","12 x 40"," ",""
"Vitvi00g00571",86,"Vitvi00g00571","",1.41056864324092,0.434868998294165,0.96449338238981,-0.880774935321322,0.607997875726194,5.78165993967492,"1.63396732033583e-07      .","12 x 40"," ",""
"Vitvi04g01575",87,"Vitvi04g01575","Vitvi04g01575",2.24031532066931,0.523366368931043,0.957705606251371,-1.61407975012686,0.644157441992718,6.35812133306066,"1.85128243845867e-08      .","12 x 40","4 ","Catalysis of the reaction: a ribonucleoside triphosphate + H2O = a ribonucleoside diphosphate + H+ + phosphate."
"Vitvi08g00824",88,"Vitvi08g00824","Vitvi08g00824",1.35561407803438,0.555098917194259,0.957597072811388,-1.25250941584939,0.623401658746681,6.01939976875379,"6.68434694262032e-08      .","14 x 40","8 ","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi09g01089",89,"Vitvi09g01089","Vitvi09g01089",0.988477966400281,0.525211850542071,0.956713254268967,-0.97354734958528,0.434607153422186,3.64328081959864,"0.000291389947544518      .","12 x 40","9 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi12g02468",90,"Vitvi12g02468","Vitvi12g02468",0.839722048041711,0.499390976051494,0.951679199237407,-0.837474100232079,0.474898583354425,4.07413698930252,"7.22232696470648e-05      .","12 x 40","12 ",""
"Vitvi04g00099",91,"Vitvi04g00099","Vitvi04g00099",2.41876757450087,0.498715144378785,0.948306791291638,-1.17336010930494,0.486051218159501,4.19896886319225,"4.75671969335512e-05      .","15 x 40","4 ",""
"Vitvi03g01524",92,"Vitvi03g01524","Vitvi03g01524",3.38929562388694,0.553891429672795,0.938764145380427,-1.98303251975494,0.479345746340529,4.12360209505077,"6.12494918406092e-05      .","12 x 40","3 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g02360",93,"Vitvi13g02360","Vitvi13g02360",1.29686797890702,0.57764378011465,0.932262471689873,-1.27788775772471,0.525102619727189,4.65835082260911,"9.78005219642863e-06      .","12 x 40","13 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi07g02062",94,"Vitvi07g02062","Vitvi07g02062",1.99529690419329,0.557822100630273,0.929813487745954,-1.35773436383277,0.607571486496627,5.77523135960304,"1.67377342652486e-07      .","14 x 40","7 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g01937",95,"Vitvi12g01937","Vitvi12g01937",2.97219632375803,0.479362552497151,0.925123656800726,-0.872534886060592,0.612505603178756,5.85011177648799,"1.26411786482983e-07      .","13 x 40","12 ","Binding to an RNA molecule or a portion thereof."
"Vitvi01g00189",96,"Vitvi01g00189","Vitvi01g00189",4.8543137210416,0.478930048058123,0.921584843854855,-1.13722827752415,0.664359518617306,6.71088582220354,"4.81669215623981e-09      .","14 x 40","1 ",""
"Vitvi11g01693",97,"Vitvi11g01693","Vitvi11g01693",2.28490056028901,0.621499823690312,0.91312036663167,-2.04035973130424,0.550604843309486,4.97980908600514,"3.11784696349626e-06      .","15 x 40","11 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi13g00720",98,"Vitvi13g00720","Vitvi13g00720",2.76205142090067,0.498006557657285,0.9099165078923,-1.14139166262115,0.628881766038117,6.10668478843809,"4.80650115264325e-08      .","13 x 40","13 ",""
"Vitvi15g00245",99,"Vitvi15g00245","",0.771570252341979,0.471956869805178,0.90122901274958,-0.771570252341979,0.517323481448562,4.56386137239317,"1.36132756658469e-05      .","15 x 40"," ",""
"Vitvi12g00524",100,"Vitvi12g00524","Vitvi12g00524",1.06892994948037,0.509935956968082,0.897881001325553,-1.0211094543868,0.693935479496975,7.27614917036163,"5.51284573546695e-10      .","13 x 40","12 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi05g01379",101,"Vitvi05g01379","Vitvi05g01379",1.75422433822954,0.42421434009619,0.889279812560217,-1.29470323013919,0.573978416546459,5.29197522322271,"1.00354143439674e-06      .","12 x 40","5 ","A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."
"Vitvi15g01181",102,"Vitvi15g01181","Vitvi15g01181",6.12045430490428,0.749015439707504,0.878123830065003,-1.30970896296751,0.465659504133291,3.97265005475685,"0.000100990142024693      .","12 x 40","15 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi10g00308",103,"Vitvi10g00308","",1.19279568992733,0.416095859349278,0.873040264963437,-0.825128232898672,0.536058475826373,4.7941773751776,"6.05319179003416e-06      .","13 x 39"," ",""
"Vitvi10g00888",104,"Vitvi10g00888","Vitvi10g00888",5.0957447786639,0.473060741371629,0.867260343991569,-1.18744113601401,0.728219903329344,8.02216604511647,"3.15704129505434e-11      .","14 x 40","10 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi09g01805",105,"Vitvi09g01805","",2.34651723280197,0.438259941703859,0.8444402498488,-1.34954181951273,0.602628400066897,5.70127766836658,"2.20683999963001e-07      .","12 x 40"," ",""
"Vitvi02g00075",106,"Vitvi02g00075","Vitvi02g00075",2.49865707801399,0.389717800176555,0.835478298770657,-0.724477592710333,0.503128773637148,4.39538138868619,"2.43871754578295e-05      .","12 x 39","2 ","Binding to a protein."
"Vitvi10g00128",107,"Vitvi10g00128","Vitvi10g00128",3.5809412739791,0.513251561016529,0.787254865161666,-1.39540574795325,0.55405916149883,5.02482766220714,"2.65112987718474e-06      .","15 x 40","10 ",""
"Vitvi03g01612",108,"Vitvi03g01612","Vitvi03g01612",4.07231084637167,0.460295559585812,0.781786088032105,-1.2880872742497,0.530934985991115,4.73024763453625,"7.5914327222204e-06      .","15 x 40","3 ","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
